Index,Energy_Before_MC,Energy_After_MC
1,-248.90621500614054,-248.90621500614054
2,-248.90621500614054,-248.90621500614054
3,-248.90621500614054,-248.90621500614054
4,-248.90621500614054,-248.90621500614054
5,-248.90621500614054,-248.90621500614054
6,-248.90621500614054,-248.90621500614054
7,-250.37456459209116,-250.37456459209116
8,-248.90621500614054,-248.90621500614054
9,-248.90621500614054,-248.90621500614054
10,-248.90621500614054,-248.90621500614054
11,-248.90621500614054,-248.90621500614054
12,-248.90621500614054,-248.90621500614054
13,-248.90621500614054,-248.90621500614054
14,-248.90621500614054,-248.90621500614054
15,-248.90621500614054,-248.90621500614054
16,-248.90621500614054,-248.90621500614054
17,-248.90621500614054,-248.90621500614054
18,-248.90621500614054,-248.90621500614054
19,-248.90621500614054,-248.90621500614054
20,-249.7696382926627,-249.7696382926627
